code,description
i8461,"Small CRT monitor gutted for parts but cathode tube still intact"
i4917,"Reactor fuel cassette marked as fresh, sealed in lead-lined transport container"
i3685,"Portable oscilloscope with cracked screen but working internals"
i3188,"Typical shotgun with ammo"
i7391,"Reactor fuel cassette containing enriched uranium pellets for portable nuclear power units"
i5683,"Bag of stainless steel bolts, nuts, and washers in metric sizes"
i8830,"Broken shortwave radio chassis that could be repaired with spare valves"
i0254,"Forklift hydraulic cylinder, leaking slightly at one seal"
i8095,"Soldering iron with hand-carved wooden grip, surprisingly effective"
i3491,"Spearhead forged from steel, mounted on a wooden shaft"
